customer_id,age,gender,location,professional_status,product_category,product_type,use_case,saas_driver,sale_date,units_sold
CUST-0333,53,Male,Worcester MA,Patient / Consumer,Peripheral,Keyboard Fold,Administrative Tasks,TeleSetup Pro,1/4/2024,4
CUST-0035,65,Prefer not to say,Boston MA,Patient / Consumer,Peripheral,Wireless Hub,Clinic Network,ClinicHub Pro,1/5/2024,4
CUST-0203,54,Female,Springfield MA,Practice Manager,Peripheral,Privacy Shield,Screen Privacy,SecureView SaaS,1/5/2024,3
CUST-0409,30,Male,Concord NH,Field Technician,Tablet,Tab Pro 12,Telehealth Consult,ClinicalOS,1/5/2024,5
CUST-0304,34,Non-binary,Hartford CT,Field Technician,Smart Watch,Pulse Sport,Sleep Analysis,FitCore SaaS,1/5/2024,2
CUST-0030,27,Male,Providence RI,Field Technician,Peripheral,BioSensor Band,Vitals Streaming,BioStream API,1/5/2024,1
CUST-0371,33,Male,Portland ME,IT & Technology Staff,Peripheral,Wireless Hub,Device Pairing,ClinicHub Pro,1/5/2024,4
CUST-0119,37,Female,Hartford CT,Field Technician,Smart Watch,Pulse Sport,Activity Logging,FitCore SaaS,1/5/2024,2
CUST-0393,26,Male,Concord NH,Clinical Administrator,Tablet,Tab Pro 12,Patient Education,TeleDoc Platform,1/5/2024,1
CUST-0291,41,Male,Bridgeport CT,Practice Manager,Peripheral,BioSensor Band,Remote Monitoring,VitalsNet SaaS,1/5/2024,2
CUST-0111,21,Male,Boston MA,Patient / Consumer,Smart Watch,Pulse Sport,Fitness Tracking,FitCore SaaS,1/5/2024,2
CUST-0279,42,Female,Manchester NH,Healthcare Professional,Peripheral,BioSensor Band,Remote Monitoring,VitalsNet SaaS,1/5/2024,2
CUST-0176,50,Non-binary,Springfield MA,Healthcare Professional,Peripheral,BioSensor Band,Vitals Streaming,VitalsNet SaaS,1/6/2024,1
CUST-0359,25,Male,Concord NH,Student / Academic,Peripheral,Keyboard Fold,Administrative Tasks,AdminFlow SaaS,1/6/2024,1
CUST-0367,25,Female,Springfield MA,Student / Academic,Tablet,Tab Compact,Field Data Entry,InvTrack Pro,1/6/2024,1
CUST-0004,57,Male,Portland ME,Healthcare Professional,Smart Watch,Pulse Elite,Remote Patient Check-in,FitCore SaaS,1/6/2024,1
CUST-0299,45,Female,Hartford CT,Clinical Administrator,Peripheral,Keyboard Fold,Telehealth Setup,TeleSetup Pro,1/7/2024,7
CUST-0162,51,Male,Burlington VT,Practice Manager,Peripheral,Keyboard Fold,Remote Input,TeleSetup Pro,1/7/2024,1
CUST-0272,29,Male,Portland ME,Practice Manager,Peripheral,Charging Dock,Clinical Stations,FleetCharge Pro,1/7/2024,1
CUST-0373,56,Male,Worcester MA,Healthcare Professional,Peripheral,Stylus Pro,Digital Annotation,SignFlow,1/7/2024,3
CUST-0298,25,Female,Hartford CT,Student / Academic,Peripheral,Privacy Shield,HIPAA Compliance,ComplianceGuard,1/7/2024,4
CUST-0070,32,Male,Bridgeport CT,Clinical Administrator,Tablet,Tab Studio,Data Visualisation,DataViz Suite,1/7/2024,1
CUST-0271,56,Female,Bridgeport CT,Healthcare Professional,Peripheral,Privacy Shield,HIPAA Compliance,SecureView SaaS,1/8/2024,3
CUST-0023,36,Female,Boston MA,Research Scientist,Peripheral,Keyboard Fold,Remote Input,TeleSetup Pro,1/8/2024,1
CUST-0134,40,Male,Manchester NH,Research Scientist,Peripheral,Wireless Hub,Clinic Network,MeshConnect SaaS,1/8/2024,3
CUST-0348,25,Female,Hartford CT,Clinical Administrator,Tablet,Tab Compact,Patient Intake,InvTrack Pro,1/8/2024,1
CUST-0080,22,Female,Bridgeport CT,Healthcare Professional,Tablet,Tab Pro 12,Patient Education,ClinicalOS,1/8/2024,3
CUST-0058,22,Male,Portland ME,Student / Academic,Smart Watch,Pulse Sport,Sleep Analysis,FitCore SaaS,1/8/2024,1
CUST-0130,26,Female,Bridgeport CT,Field Technician,Tablet,Tab Compact,Inventory Management,InvTrack Pro,1/8/2024,2
CUST-0244,43,Female,Burlington VT,Research Scientist,Peripheral,Privacy Shield,HIPAA Compliance,SecureView SaaS,1/8/2024,3
CUST-0156,20,Non-binary,Hartford CT,Student / Academic,Smart Watch,Pulse Sport,Activity Logging,WellnessCloud,1/8/2024,1
CUST-0212,48,Male,Worcester MA,Clinical Administrator,Tablet,Tab Pro 12,Clinical Documentation,EduHealth SaaS,1/8/2024,3
CUST-0138,30,Male,Worcester MA,IT & Technology Staff,Smart Watch,Pulse Sport,Sleep Analysis,WellnessCloud,1/8/2024,2
CUST-0156,20,Non-binary,Hartford CT,Student / Academic,Peripheral,Keyboard Fold,Telehealth Setup,AdminFlow SaaS,1/8/2024,3
CUST-0262,43,Female,Hartford CT,Practice Manager,Tablet,Tab Studio,Creative Workflow,DesignHub SaaS,1/8/2024,1
CUST-0390,21,Male,Burlington VT,Student / Academic,Peripheral,BioSensor Band,Vitals Streaming,BioStream API,1/8/2024,1
CUST-0305,41,Female,Portland ME,Healthcare Professional,Smart Watch,Pulse Elite,Remote Patient Check-in,FitCore SaaS,1/8/2024,2
CUST-0403,42,Female,Burlington VT,Healthcare Professional,Tablet,Tab Studio,Data Visualisation,DiagnosticAI,1/8/2024,1
CUST-0313,35,Female,Portland ME,Field Technician,Tablet,Tab Pro 12,Telehealth Consult,ClinicalOS,1/8/2024,4
CUST-0081,31,Male,Bridgeport CT,IT & Technology Staff,Tablet,Tab Studio,Data Visualisation,DataViz Suite,1/9/2024,1
CUST-0123,39,Male,Manchester NH,Field Technician,Smart Watch,Pulse Sport,Fitness Tracking,FitCore SaaS,1/9/2024,3
CUST-0248,41,Male,Burlington VT,Patient / Consumer,Peripheral,Privacy Shield,Screen Privacy,SecureView SaaS,1/9/2024,2
CUST-0294,35,Male,Worcester MA,Field Technician,Smart Watch,Pulse Sport,Activity Logging,WellnessCloud,1/9/2024,2
CUST-0311,31,Male,Worcester MA,IT & Technology Staff,Peripheral,Wireless Hub,Device Pairing,ClinicHub Pro,1/9/2024,2
CUST-0409,30,Male,Concord NH,Field Technician,Tablet,Tab Studio,Data Visualisation,DataViz Suite,1/9/2024,2
CUST-0398,73,Male,Springfield MA,Patient / Consumer,Smart Watch,Pulse Elite,Remote Patient Check-in,FitCore SaaS,1/9/2024,3
CUST-0057,28,Male,Boston MA,Research Scientist,Smart Watch,Pulse Elite,Remote Patient Check-in,FitCore SaaS,1/10/2024,3
CUST-0350,31,Male,Boston MA,IT & Technology Staff,Peripheral,Keyboard Fold,Administrative Tasks,AdminFlow SaaS,1/10/2024,3
CUST-0050,18,Prefer not to say,Bridgeport CT,Field Technician,Tablet,Tab Pro 12,Telehealth Consult,ClinicalOS,1/10/2024,1
CUST-0203,54,Female,Springfield MA,Practice Manager,Tablet,Tab Studio,Creative Workflow,DiagnosticAI,1/10/2024,1
CUST-0023,36,Female,Boston MA,Research Scientist,Tablet,Tab Studio,Data Visualisation,DataViz Suite,1/10/2024,3
CUST-0054,43,Male,Springfield MA,Clinical Administrator,Peripheral,Stylus Pro,Digital Annotation,NoteStream SaaS,1/10/2024,2
CUST-0225,44,Female,Bridgeport CT,Patient / Consumer,Peripheral,Privacy Shield,Screen Privacy,SecureView SaaS,1/10/2024,2
CUST-0232,55,Female,Hartford CT,Patient / Consumer,Peripheral,Wireless Hub,Device Pairing,ClinicHub Pro,1/10/2024,1
CUST-0169,39,Female,Springfield MA,Healthcare Professional,Tablet,Tab Compact,Patient Intake,FieldOps SaaS,1/10/2024,2
CUST-0039,30,Male,Burlington VT,Practice Manager,Tablet,Tab Pro 12,Patient Education,ClinicalOS,1/10/2024,2
CUST-0246,34,Male,Worcester MA,Clinical Administrator,Tablet,Tab Pro 12,Clinical Documentation,EduHealth SaaS,1/10/2024,1
CUST-0133,31,Female,Bridgeport CT,Healthcare Professional,Peripheral,Privacy Shield,Screen Privacy,ComplianceGuard,1/10/2024,4
CUST-0208,26,Male,Portland ME,Student / Academic,Peripheral,Keyboard Fold,Telehealth Setup,TeleSetup Pro,1/10/2024,1
CUST-0272,29,Male,Portland ME,Practice Manager,Tablet,Tab Pro 12,Patient Education,ClinicalOS,1/10/2024,1
CUST-0379,63,Prefer not to say,Worcester MA,Healthcare Professional,Peripheral,BioSensor Band,Vitals Streaming,VitalsNet SaaS,1/10/2024,6
CUST-0120,42,Male,Hartford CT,Research Scientist,Peripheral,BioSensor Band,Vitals Streaming,BioStream API,1/11/2024,2
CUST-0373,56,Male,Worcester MA,Healthcare Professional,Smart Watch,Pulse Elite,Remote Patient Check-in,HealthSync Pro,1/11/2024,2
CUST-0252,44,Female,Burlington VT,Research Scientist,Tablet,Tab Pro 12,Clinical Documentation,EduHealth SaaS,1/11/2024,1
CUST-0356,22,Non-binary,Burlington VT,Field Technician,Peripheral,Wireless Hub,Clinic Network,MeshConnect SaaS,1/11/2024,2
CUST-0202,37,Female,Burlington VT,IT & Technology Staff,Peripheral,Keyboard Fold,Telehealth Setup,TeleSetup Pro,1/11/2024,2
CUST-0273,29,Female,Hartford CT,Student / Academic,Smart Watch,Pulse Sport,Fitness Tracking,FitCore SaaS,1/11/2024,1
CUST-0208,26,Male,Portland ME,Student / Academic,Peripheral,Keyboard Fold,Telehealth Setup,TeleSetup Pro,1/11/2024,2
CUST-0067,43,Male,Providence RI,Practice Manager,Peripheral,Stylus Pro,Clinical Note-taking,NoteStream SaaS,1/11/2024,3
CUST-0003,43,Female,Boston MA,Clinical Administrator,Tablet,Tab Compact,Inventory Management,IntakeFlow,1/11/2024,2
CUST-0289,56,Female,Springfield MA,Patient / Consumer,Tablet,Tab Compact,Patient Intake,FieldOps SaaS,1/11/2024,1
CUST-0306,53,Prefer not to say,Manchester NH,Patient / Consumer,Smart Watch,Pulse Sport,Fitness Tracking,WellnessCloud,1/11/2024,3
CUST-0065,45,Male,Concord NH,Clinical Administrator,Peripheral,Keyboard Fold,Telehealth Setup,AdminFlow SaaS,1/11/2024,2
CUST-0146,64,Male,Portland ME,Patient / Consumer,Peripheral,BioSensor Band,Continuous Glucose Monitor,BioStream API,1/11/2024,5
CUST-0374,46,Female,Hartford CT,Clinical Administrator,Smart Watch,Pulse Sport,Fitness Tracking,WellnessCloud,1/11/2024,2
CUST-0150,38,Female,Worcester MA,Research Scientist,Tablet,Tab Pro 12,Clinical Documentation,EduHealth SaaS,1/12/2024,1
CUST-0052,22,Male,Bridgeport CT,Student / Academic,Peripheral,BioSensor Band,Continuous Glucose Monitor,VitalsNet SaaS,1/12/2024,1
CUST-0209,26,Female,Concord NH,Student / Academic,Tablet,Tab Pro 12,Telehealth Consult,EduHealth SaaS,1/12/2024,1
CUST-0267,46,Male,Hartford CT,IT & Technology Staff,Peripheral,Charging Dock,Clinical Stations,PowerDesk SaaS,1/13/2024,2
CUST-0099,33,Male,Manchester NH,IT & Technology Staff,Peripheral,Privacy Shield,Secure Display,SecureView SaaS,1/13/2024,3
CUST-0311,31,Male,Worcester MA,IT & Technology Staff,Smart Watch,Pulse Elite,Remote Patient Check-in,HealthSync Pro,1/13/2024,1
CUST-0047,33,Prefer not to say,Bridgeport CT,Clinical Administrator,Peripheral,Charging Dock,Fleet Management,FleetCharge Pro,1/13/2024,1
CUST-0379,63,Prefer not to say,Worcester MA,Healthcare Professional,Tablet,Tab Pro 12,Telehealth Consult,TeleDoc Platform,1/13/2024,3
CUST-0209,26,Female,Concord NH,Student / Academic,Peripheral,Stylus Pro,Clinical Note-taking,SignFlow,1/13/2024,3
CUST-0052,22,Male,Bridgeport CT,Student / Academic,Smart Watch,Pulse Sport,Sleep Analysis,WellnessCloud,1/13/2024,1
CUST-0093,40,Male,Concord NH,Patient / Consumer,Tablet,Tab Pro 12,Patient Education,ClinicalOS,1/13/2024,1
CUST-0100,31,Male,Springfield MA,IT & Technology Staff,Smart Watch,Pulse Elite,Remote Patient Check-in,HealthSync Pro,1/14/2024,1
CUST-0129,24,Female,Concord NH,Student / Academic,Smart Watch,Pulse Sport,Fitness Tracking,FitCore SaaS,1/14/2024,1
CUST-0388,43,Male,Hartford CT,Field Technician,Peripheral,BioSensor Band,Remote Monitoring,VitalsNet SaaS,1/14/2024,2
CUST-0414,56,Female,Worcester MA,Practice Manager,Peripheral,Privacy Shield,HIPAA Compliance,SecureView SaaS,1/14/2024,5
CUST-0151,46,Male,Providence RI,Practice Manager,Peripheral,Charging Dock,Clinical Stations,FleetCharge Pro,1/14/2024,1
CUST-0267,46,Male,Hartford CT,IT & Technology Staff,Peripheral,Charging Dock,Clinical Stations,PowerDesk SaaS,1/14/2024,2
CUST-0074,45,Male,Worcester MA,IT & Technology Staff,Peripheral,BioSensor Band,Vitals Streaming,VitalsNet SaaS,1/14/2024,2
CUST-0293,30,Prefer not to say,Portland ME,Research Scientist,Peripheral,Stylus Pro,E-Signature,SignFlow,1/15/2024,2
CUST-0224,21,Male,Hartford CT,Research Scientist,Tablet,Tab Pro 12,Patient Education,TeleDoc Platform,1/15/2024,1
CUST-0334,27,Male,Bridgeport CT,IT & Technology Staff,Tablet,Tab Compact,Inventory Management,InvTrack Pro,1/15/2024,3
CUST-0197,33,Male,Worcester MA,Healthcare Professional,Peripheral,Keyboard Fold,Telehealth Setup,AdminFlow SaaS,1/15/2024,2
CUST-0289,56,Female,Springfield MA,Patient / Consumer,Smart Watch,Pulse Sport,Activity Logging,WellnessCloud,1/15/2024,2
CUST-0350,31,Male,Boston MA,IT & Technology Staff,Peripheral,Privacy Shield,Secure Display,SecureView SaaS,1/16/2024,5
CUST-0399,34,Male,Hartford CT,Research Scientist,Peripheral,Charging Dock,Fleet Management,FleetCharge Pro,1/16/2024,3
CUST-0184,26,Male,Manchester NH,Student / Academic,Peripheral,Privacy Shield,Secure Display,SecureView SaaS,1/16/2024,2
CUST-0168,43,Male,Springfield MA,Field Technician,Tablet,Tab Compact,Field Data Entry,IntakeFlow,1/16/2024,2
CUST-0353,39,Male,Concord NH,IT & Technology Staff,Peripheral,Stylus Pro,Digital Annotation,NoteStream SaaS,1/16/2024,2
CUST-0399,34,Male,Hartford CT,Research Scientist,Peripheral,Keyboard Fold,Administrative Tasks,AdminFlow SaaS,1/16/2024,4
CUST-0015,18,Female,Manchester NH,Student / Academic,Peripheral,Privacy Shield,HIPAA Compliance,ComplianceGuard,1/16/2024,3
CUST-0379,63,Prefer not to say,Worcester MA,Healthcare Professional,Smart Watch,Pulse Elite,Fitness Tracking,FitCore SaaS,1/16/2024,2
CUST-0165,36,Female,Portland ME,Field Technician,Peripheral,Stylus Pro,Clinical Note-taking,SignFlow,1/16/2024,4
CUST-0285,50,Male,Springfield MA,IT & Technology Staff,Peripheral,Keyboard Fold,Remote Input,AdminFlow SaaS,1/16/2024,2
CUST-0419,53,Male,Springfield MA,Healthcare Professional,Peripheral,Privacy Shield,Screen Privacy,SecureView SaaS,1/16/2024,2
CUST-0279,42,Female,Manchester NH,Healthcare Professional,Peripheral,Charging Dock,Fleet Management,FleetCharge Pro,1/16/2024,5
CUST-0061,39,Male,Hartford CT,Practice Manager,Peripheral,Privacy Shield,HIPAA Compliance,SecureView SaaS,1/17/2024,4
CUST-0164,30,Male,Portland ME,Clinical Administrator,Peripheral,Wireless Hub,Data Aggregation,MeshConnect SaaS,1/17/2024,1
CUST-0006,28,Male,Springfield MA,Field Technician,Smart Watch,Pulse Sport,Fitness Tracking,FitCore SaaS,1/17/2024,1
CUST-0136,76,Female,Worcester MA,Patient / Consumer,Peripheral,BioSensor Band,Continuous Glucose Monitor,VitalsNet SaaS,1/17/2024,1
CUST-0417,76,Female,Springfield MA,Patient / Consumer,Peripheral,Keyboard Fold,Remote Input,AdminFlow SaaS,1/17/2024,2
CUST-0074,45,Male,Worcester MA,IT & Technology Staff,Tablet,Tab Studio,Data Visualisation,DiagnosticAI,1/17/2024,1
CUST-0062,28,Male,Manchester NH,Field Technician,Peripheral,Charging Dock,Multi-Device Charging,FleetCharge Pro,1/17/2024,1
CUST-0180,60,Female,Concord NH,Research Scientist,Smart Watch,Pulse Elite,Fitness Tracking,FitCore SaaS,1/17/2024,1
CUST-0153,25,Male,Bridgeport CT,Field Technician,Peripheral,Stylus Pro,E-Signature,NoteStream SaaS,1/17/2024,3
CUST-0197,33,Male,Worcester MA,Healthcare Professional,Peripheral,Charging Dock,Multi-Device Charging,FleetCharge Pro,1/18/2024,5
CUST-0086,33,Male,Springfield MA,Clinical Administrator,Smart Watch,Pulse Sport,Fitness Tracking,WellnessCloud,1/18/2024,1
CUST-0105,31,Female,Burlington VT,IT & Technology Staff,Peripheral,Privacy Shield,HIPAA Compliance,ComplianceGuard,1/18/2024,5
CUST-0077,44,Male,Burlington VT,Practice Manager,Tablet,Tab Studio,Remote Diagnosis,DataViz Suite,1/18/2024,1
CUST-0135,19,Female,Manchester NH,Student / Academic,Peripheral,Stylus Pro,E-Signature,SignFlow,1/18/2024,4
CUST-0112,23,Male,Portland ME,Student / Academic,Peripheral,BioSensor Band,Continuous Glucose Monitor,BioStream API,1/18/2024,1
CUST-0062,28,Male,Manchester NH,Field Technician,Peripheral,BioSensor Band,Continuous Glucose Monitor,VitalsNet SaaS,1/18/2024,5
CUST-0055,45,Female,Boston MA,Research Scientist,Smart Watch,Pulse Sport,Sleep Analysis,FitCore SaaS,1/18/2024,2
CUST-0008,39,Female,Concord NH,IT & Technology Staff,Peripheral,Keyboard Fold,Remote Input,TeleSetup Pro,1/18/2024,1
CUST-0046,31,Male,Hartford CT,Clinical Administrator,Peripheral,Privacy Shield,Screen Privacy,ComplianceGuard,1/18/2024,3
CUST-0245,27,Male,Providence RI,Clinical Administrator,Peripheral,Charging Dock,Clinical Stations,FleetCharge Pro,1/19/2024,3
CUST-0338,35,Female,Manchester NH,Clinical Administrator,Peripheral,Wireless Hub,Clinic Network,MeshConnect SaaS,1/19/2024,3
CUST-0015,18,Female,Manchester NH,Student / Academic,Peripheral,Privacy Shield,Screen Privacy,SecureView SaaS,1/19/2024,5
CUST-0062,28,Male,Manchester NH,Field Technician,Peripheral,BioSensor Band,Remote Monitoring,VitalsNet SaaS,1/19/2024,2
CUST-0344,26,Female,Concord NH,Field Technician,Peripheral,Stylus Pro,Digital Annotation,NoteStream SaaS,1/19/2024,2
CUST-0290,37,Female,Hartford CT,Practice Manager,Smart Watch,Pulse Sport,Activity Logging,FitCore SaaS,1/19/2024,1
CUST-0403,42,Female,Burlington VT,Healthcare Professional,Tablet,Tab Compact,Patient Intake,IntakeFlow,1/19/2024,1
CUST-0115,34,Female,Providence RI,Research Scientist,Peripheral,Stylus Pro,Clinical Note-taking,NoteStream SaaS,1/20/2024,3
CUST-0395,29,Female,Worcester MA,Student / Academic,Peripheral,Keyboard Fold,Administrative Tasks,AdminFlow SaaS,1/20/2024,3
CUST-0347,18,Non-binary,Portland ME,Student / Academic,Peripheral,Keyboard Fold,Remote Input,AdminFlow SaaS,1/20/2024,2
CUST-0098,56,Non-binary,Manchester NH,Patient / Consumer,Peripheral,Stylus Pro,E-Signature,NoteStream SaaS,1/20/2024,1
CUST-0377,50,Female,Bridgeport CT,Healthcare Professional,Smart Watch,Pulse Sport,Fitness Tracking,FitCore SaaS,1/21/2024,1
CUST-0167,52,Male,Portland ME,Practice Manager,Tablet,Tab Compact,Field Data Entry,InvTrack Pro,1/21/2024,1
CUST-0415,57,Male,Bridgeport CT,Patient / Consumer,Peripheral,Stylus Pro,Clinical Note-taking,SignFlow,1/21/2024,1
CUST-0315,47,Female,Burlington VT,Research Scientist,Smart Watch,Pulse Sport,Fitness Tracking,FitCore SaaS,1/22/2024,2
CUST-0328,43,Female,Springfield MA,Research Scientist,Smart Watch,Pulse Elite,Fitness Tracking,FitCore SaaS,1/22/2024,1
CUST-0032,54,Male,Providence RI,Clinical Administrator,Tablet,Tab Compact,Patient Intake,FieldOps SaaS,1/22/2024,1
CUST-0193,31,Male,Portland ME,Field Technician,Smart Watch,Pulse Sport,Sleep Analysis,WellnessCloud,1/22/2024,2
CUST-0301,26,Male,Burlington VT,IT & Technology Staff,Peripheral,Charging Dock,Multi-Device Charging,PowerDesk SaaS,1/22/2024,2
CUST-0294,35,Male,Worcester MA,Field Technician,Peripheral,Privacy Shield,HIPAA Compliance,SecureView SaaS,1/22/2024,1
CUST-0348,25,Female,Hartford CT,Clinical Administrator,Tablet,Tab Compact,Inventory Management,InvTrack Pro,1/22/2024,2
CUST-0034,22,Female,Hartford CT,Field Technician,Smart Watch,Pulse Sport,Sleep Analysis,WellnessCloud,1/22/2024,2
CUST-0281,45,Non-binary,Providence RI,Practice Manager,Tablet,Tab Pro 12,Clinical Documentation,TeleDoc Platform,1/22/2024,1
CUST-0259,59,Male,Portland ME,Patient / Consumer,Peripheral,BioSensor Band,Remote Monitoring,VitalsNet SaaS,1/23/2024,2
CUST-0364,39,Prefer not to say,Springfield MA,Research Scientist,Peripheral,Privacy Shield,HIPAA Compliance,ComplianceGuard,1/23/2024,1
CUST-0410,37,Male,Concord NH,IT & Technology Staff,Tablet,Tab Compact,Patient Intake,FieldOps SaaS,1/23/2024,3
CUST-0274,44,Female,Portland ME,Practice Manager,Peripheral,Charging Dock,Fleet Management,PowerDesk SaaS,1/23/2024,3
CUST-0120,42,Male,Hartford CT,Research Scientist,Smart Watch,Pulse Elite,Remote Patient Check-in,FitCore SaaS,1/23/2024,1
CUST-0015,18,Female,Manchester NH,Student / Academic,Peripheral,Wireless Hub,Clinic Network,MeshConnect SaaS,1/23/2024,1
CUST-0025,26,Male,Portland ME,Field Technician,Tablet,Tab Compact,Inventory Management,InvTrack Pro,1/23/2024,1
CUST-0356,22,Non-binary,Burlington VT,Field Technician,Tablet,Tab Compact,Patient Intake,FieldOps SaaS,1/23/2024,1
CUST-0228,34,Male,Bridgeport CT,Patient / Consumer,Smart Watch,Pulse Elite,Fitness Tracking,FitCore SaaS,1/23/2024,1
CUST-0370,31,Female,Boston MA,Clinical Administrator,Tablet,Tab Pro 12,Clinical Documentation,EduHealth SaaS,1/23/2024,3
CUST-0352,51,Male,Bridgeport CT,Clinical Administrator,Peripheral,BioSensor Band,Remote Monitoring,BioStream API,1/23/2024,1
CUST-0080,22,Female,Bridgeport CT,Healthcare Professional,Tablet,Tab Pro 12,Patient Education,EduHealth SaaS,1/23/2024,2
